Logiciel Proprietaire ID,Logiciel Proprietaire,Alternative OSS,Licence,Maturite,Communaute,Pays Origine,Compatibilite Formats,Fonctionnalites Cles,Support Commercial,URL
cartographie_sig_arcgis,ArcGIS,MapServer,MIT,A,forte,US,WMS/WFS,"Serveur cartographique, tres rapide, MapScript",OSGeo,https://mapserver.org
cartographie_sig_arcgis,ArcGIS,OpenLayers,BSD-2,A,tres forte,US,Web mapping,"Bibliotheque carto web, tres puissante, vector tiles",OSGeo,https://openlayers.org
cartographie_sig_google_maps_platform,Google Maps Platform,OpenStreetMap + Nominatim,ODbL,A,tres forte,UK,"OSM XML, PBF","Carte libre du monde, editable, geocodage, routing",OSMF,https://www.openstreetmap.org
cartographie_sig_google_maps_platform,Google Maps Platform,MapLibre GL,BSD-3,A,tres forte,US,Vector tiles,"Moteur carto web, fork Mapbox GL, 100% libre, self-hosted tiles",MapLibre,https://maplibre.org
cartographie_sig_google_maps_platform,Google Maps Platform,Leaflet,BSD-2,A,tres forte,UA,Web tiles,"Bibliotheque carto web legere, tres populaire, plugins",Communautaire,https://leafletjs.com
cartographie_sig_google_maps_platform,Google Maps Platform,PostGIS,GPL-2.0,A,tres forte,US,PostgreSQL extension,"Extension geospatiale PostgreSQL, tres puissante, raster","Crunchy Data, etc.",https://postgis.net
cartographie_sig_mapbox,Mapbox,MapLibre GL,BSD-3,A,tres forte,US,Vector tiles,"Fork Mapbox GL, 100% libre, self-hosted tiles, style JSON",MapLibre,https://maplibre.org
cartographie_sig_mapbox,Mapbox,OpenStreetMap,ODbL,A,tres forte,UK,OSM,"Donnees carto libres, editable",OSMF,https://www.openstreetmap.org
cartographie_sig_mapbox,Mapbox,Leaflet,BSD-2,A,tres forte,UA,Web tiles,"Legere, populaire, plugins",Communautaire,https://leafletjs.com
impression_papercut,PaperCut,CUPS,Apache-2.0,A,tres forte,US,IPP,"Systeme d'impression standard Linux/Unix, IPP Everywhere, tres mature",OpenPrinting,https://www.cups.org
impression_papercut,PaperCut,PyKota,GPL-2.0,B,moyenne,FR,CUPS,"Quota d'impression, accounting, pre/post-processing, francais",PyKota,https://www.pykota.com
impression_papercut,PaperCut,Tea4CUPS,GPL-2.0,B,faible,FR,CUPS,"Watermark, pre/post-processing impressions, francais",PyKota,https://www.pykota.com/software/tea4cups
impression_papercut,PaperCut,Gutenprint,GPL-2.0,A,forte,US,Multiple,"Drivers imprimantes haute qualite, CUPS integration",Communautaire,https://gimp-print.sourceforge.io
impression_printerlogic,PrinterLogic,CUPS,Apache-2.0,A,tres forte,US,IPP,"Impression standard, mature, IPP Everywhere",OpenPrinting,https://www.cups.org
impression_printerlogic,PrinterLogic,PyKota,GPL-2.0,B,moyenne,FR,CUPS,"Quota, accounting, francais",PyKota,https://www.pykota.com
impression_hp_jetadvantage,HP JetAdvantage,CUPS,Apache-2.0,A,tres forte,US,IPP,"Impression standard, mature",OpenPrinting,https://www.cups.org
impression_hp_jetadvantage,HP JetAdvantage,PyKota,GPL-2.0,B,moyenne,FR,CUPS,"Quota, accounting, francais",PyKota,https://www.pykota.com
